Acceleration Sensor,capability.accelerationSensor,acceleration,active inactive
Air Conditioner Mode,capability.airConditionerMode,airConditionerMode,auto cool dry coolClean dryClean fanOnly heat heatClean notSupported
Actuator,capability.actuator,,
Alarm,capability.alarm,alarm,off strobe siren both
Audio Volume,capability.audioMute,volume,volumeUp volumeDown
Battery,capability.battery,battery,
Beacon,capability.beacon,presence,
Button,capability.button,button,held pushed
Carbon Monoxide Detector,capability.carbonMonoxideDetector,carbonMonoxide,clear detected tested
Color Control,capability.colorControl,hue saturation color,setHue setSaturation
Color Temperature,capability.colorTemperature,colorTemperature,
Configuration,capability.configuration,,configure
Contact Sensor,capability.contactSensor,contact,open closed
Dishwasher Mode,capability.dishwasherMode,dishwasherMode,auto quick rinse dry
Door Control,capability.doorControl,door,closed closing open opening
Dryer Mode,capability.dryerMode,dryerMode,regular lowHeat highHeat
Dust Sensor,capability.dustSensor,dustLevel,
Energy Meter,capability.energyMeter,energy,
Fan Speed,capability.fanSpeed,fanSpeed,
Filter Status,capability.filterStatus,filterStatus,normal replace
Illuminance Measurement,capability.illuminanceMeasurement,illuminance,
Image Capture,capability.imageCapture,image,take
Lock,capability.lock,lock,locked unlocked
Media Controller,capability.mediaController,activities currentActivity,
Media Input Source,capability.mediaInputSource,inputSource,AM CD FM HDMI HDMI2 USB YouTube aux bluetooth digital melon wifi
Media Playback Repeat,capability.mediaPlaybackRepeat,playbackRepeatMode,all off one
Media Playback Shuffle,capability.mediaPlaybackShuffle,playbackShuffle,disabled enabled
Media Playback,capability.mediaPlayback,playbackStatus,play pause stop
Momentary,capability.momentary,,push
Motion Sensor,capability.motionSensor,motion,active inactive
Music Player,capability.musicPlayer,status level trackDescription trackData mute,play pause stop nextTrack playTrack setLevel playText mute previousTrack unmute setTrack resumeTrack restoreTrack
Notification,capability.notification,,deviceNotification
Odor Sensor,capability.odorSensor,odorLevel,
Oven Mode,capability.ovenMode,ovenMode,heating grill warming defrosting
Polling,capability.polling,,poll
Power Meter,capability.powerMeter,power,
Presence Sensor,capability.presenceSensor,presence,present notpresent
Rapid Cooling,capability.rapidCooling,rapidCooling,off on
Refrigeration Setpoint,capability.refrigerationSetpoint,refrigerationSetpoint,
Robot Cleaner Cleaning Mode,capability.relativeHumidityMeasurement,robotCleanerCleaningMode,
Robot Cleaner Movement,capability.robotCleanerCleaningMode,robotCleanerMovement,auto part repeat manual stop map
Robot Cleaner Turbo Mode,capability.robotCleanerMovement,robotCleanerTurboMode,homing idle charging alarm powerOff reserve point after cleaning
Refresh,capability.refresh,,refresh
Relative Humidity Measurement,capability.relativeHumidityMeasurement,humidity,
Relay Switch,capability.relaySwitch,switch,on off
Sensor,capability.sensor,,
Signal Strength,capability.signalStrength,lqi rssi,
Sleep Sensor,capability.sleepSensor,sleeping,
Smoke Detector,capability.soundSensor,smoke,clear detected tested
Sound Sensor,capability.smokeDetector,sound,detected notdetected 
Speech Synthesis,capability.speechSynthesis,,speak
Step Sensor,capability.stepSensor,steps goal,
Switch,capability.switch,switch,on off
Switch Level,capability.switchLevel,level,setLevel
Temperature Measurement,capability.temperatureMeasurement,temperature,
Thermostat,capability.thermostat,,heatingSetpoint coolingSetpoint setHeatingSetpoint setCoolingSetpoint off heat emergencyHeat cool setThermostatMode fanOn fanAuto fanCirculate setThermostatFanMode auto
Thermostat Cooling Setpoint,capability.thermostatCoolingSetpoint,coolingSetpoint,setCoolingSetpoint
Thermostat Fan Mode,capability.thermostatFanMode,thermostatFanMode,fanOn fanAuto fanCirculate setThermostatFanMode
Thermostat Heating Setpoint,capability.thermostatHeatingSetpoint,heatingSetpoint,setHeatingSetpoint
Thermostat Mode,capability.thermostatMode,thermostatMode,off heat emergencyHeat cool auto setThermostatMode
Thermostat Operating State,capability.thermostatOperatingState,thermostatOperatingState,cooling heating idle fan
Thermostat Setpoint,capability.thermostatSetpoint,thermostatSetpoint,
Three Axis,capability.threeAxis,threeAxis,
Tone,capability.tone,,beep
Touch Sensor,capability.touchSensor,touch,
Valve,capability.valve,valve,open closed
Washer Mode,capability.washerMode,washerMode,regular heavy rinse spinDry
Water Sensor,capability.waterSensor,water,dry wet
